Industry,State,Year,Measure
Stores and Restaurants,Alabama,2024,45063
Stores and Restaurants,Alabama,2023,258401
Stores and Restaurants,Alabama,2022,216428
Stores and Restaurants,Alabama,2021,241660
Stores and Restaurants,Alabama,2020,168308
Stores and Restaurants,Alabama,2019,299684
Stores and Restaurants,Alabama,2018,225055
Stores and Restaurants,Alabama,2017,291249
Stores and Restaurants,Alabama,2016,215308
Stores and Restaurants,Alabama,2015,262148
Stores and Restaurants,Alaska,2024,2027
Stores and Restaurants,Alaska,2023,22411
Stores and Restaurants,Alaska,2022,13639
Stores and Restaurants,Alaska,2021,5627
Stores and Restaurants,Alaska,2020,9766
Stores and Restaurants,Alaska,2019,27185
Stores and Restaurants,Alaska,2018,31028
Stores and Restaurants,Alaska,2017,9314
Stores and Restaurants,Alaska,2016,43771
Stores and Restaurants,Alaska,2015,21010
Stores and Restaurants,Arizona,2024,163573
Stores and Restaurants,Arizona,2023,575214
Stores and Restaurants,Arizona,2022,461330
Stores and Restaurants,Arizona,2021,306412
Stores and Restaurants,Arizona,2020,184606
Stores and Restaurants,Arizona,2019,281688
Stores and Restaurants,Arizona,2018,170724
Stores and Restaurants,Arizona,2017,290534
Stores and Restaurants,Arizona,2016,328389
Stores and Restaurants,Arizona,2015,353284
Stores and Restaurants,Arkansas,2024,23283
Stores and Restaurants,Arkansas,2023,135442
Stores and Restaurants,Arkansas,2022,179891
Stores and Restaurants,Arkansas,2021,199550
Stores and Restaurants,Arkansas,2020,99067
Stores and Restaurants,Arkansas,2019,85635
Stores and Restaurants,Arkansas,2018,100595
Stores and Restaurants,Arkansas,2017,102826
Stores and Restaurants,Arkansas,2016,119908
Stores and Restaurants,Arkansas,2015,145900
Stores and Restaurants,California,2024,308066
Stores and Restaurants,California,2023,1131687
Stores and Restaurants,California,2022,1151915
Stores and Restaurants,California,2021,1160051
Stores and Restaurants,California,2020,823209
Stores and Restaurants,California,2019,1113096
Stores and Restaurants,California,2018,1263174
Stores and Restaurants,California,2017,1742436
Stores and Restaurants,California,2016,2262590
Stores and Restaurants,California,2015,2119145
Stores and Restaurants,Colorado,2024,46119
Stores and Restaurants,Colorado,2023,238917
Stores and Restaurants,Colorado,2022,384858
Stores and Restaurants,Colorado,2021,212838
Stores and Restaurants,Colorado,2020,214110
Stores and Restaurants,Colorado,2019,299894
Stores and Restaurants,Colorado,2018,322704
Stores and Restaurants,Colorado,2017,432626
Stores and Restaurants,Colorado,2016,414412
Stores and Restaurants,Colorado,2015,418383
Stores and Restaurants,Connecticut,2024,49370
Stores and Restaurants,Connecticut,2023,122394
Stores and Restaurants,Connecticut,2022,140284
Stores and Restaurants,Connecticut,2021,120798
Stores and Restaurants,Connecticut,2020,92093
Stores and Restaurants,Connecticut,2019,128246
Stores and Restaurants,Connecticut,2018,152547
Stores and Restaurants,Connecticut,2017,673091
Stores and Restaurants,Connecticut,2016,114633
Stores and Restaurants,Connecticut,2015,157738
Stores and Restaurants,Delaware,2024,8800
Stores and Restaurants,Delaware,2023,23703
Stores and Restaurants,Delaware,2022,69840
Stores and Restaurants,Delaware,2021,56350
Stores and Restaurants,Delaware,2020,56253
Stores and Restaurants,Delaware,2019,58680
Stores and Restaurants,Delaware,2018,44166
Stores and Restaurants,Delaware,2017,60448
Stores and Restaurants,Delaware,2016,41295
Stores and Restaurants,Delaware,2015,32143
Stores and Restaurants,District of Columbia,2024,6850
Stores and Restaurants,District of Columbia,2023,54362
Stores and Restaurants,District of Columbia,2022,82947
Stores and Restaurants,District of Columbia,2021,100469
