Industry,Work Type,Switch Time,Measure
Stores and Restaurants,Private,2024,4599564
Stores and Restaurants,Private,2023,18881366
Stores and Restaurants,Private,2022,18982182
Stores and Restaurants,Private,2021,14713100
Stores and Restaurants,Private,2020,12206660
Stores and Restaurants,Private,2019,16043853
Stores and Restaurants,Private,2018,16472021
Stores and Restaurants,Private,2017,19744841
Stores and Restaurants,Private,2016,20556362
Stores and Restaurants,Private,2015,19798565
Stores and Restaurants,County,2024,143353
Stores and Restaurants,County,2023,427116
Stores and Restaurants,County,2022,368994
Stores and Restaurants,County,2021,174003
Stores and Restaurants,County,2020,229577
Stores and Restaurants,County,2019,372640
Stores and Restaurants,County,2018,339081
Stores and Restaurants,County,2017,233470
Stores and Restaurants,County,2016,249161
Stores and Restaurants,County,2015,207378
Stores and Restaurants,State,2024,21242
Stores and Restaurants,State,2023,181535
Stores and Restaurants,State,2022,93474
Stores and Restaurants,State,2021,70847
Stores and Restaurants,State,2020,141964
Stores and Restaurants,State,2019,103773
Stores and Restaurants,State,2018,235674
Stores and Restaurants,State,2017,160762
Stores and Restaurants,State,2016,215748
Stores and Restaurants,State,2015,186675
Stores and Restaurants,Federal,2024,9792
Stores and Restaurants,Federal,2023,42341
Stores and Restaurants,Federal,2022,35396
Stores and Restaurants,Federal,2021,51992
Stores and Restaurants,Federal,2020,23002
Stores and Restaurants,Federal,2019,79636
Stores and Restaurants,Federal,2018,66037
Stores and Restaurants,Federal,2017,92795
Stores and Restaurants,Federal,2016,81514
Stores and Restaurants,Federal,2015,89061
Warehouses (excl. manufacturer owned),Private,2024,9492201
Warehouses (excl. manufacturer owned),Private,2023,44815324
Warehouses (excl. manufacturer owned),Private,2022,59428689
Warehouses (excl. manufacturer owned),Private,2021,48512778
Warehouses (excl. manufacturer owned),Private,2020,34428555
Warehouses (excl. manufacturer owned),Private,2019,29285120
Warehouses (excl. manufacturer owned),Private,2018,23109721
Warehouses (excl. manufacturer owned),Private,2017,22644688
Warehouses (excl. manufacturer owned),Private,2016,18784437
Warehouses (excl. manufacturer owned),Private,2015,14661689
Warehouses (excl. manufacturer owned),County,2024,186810
Warehouses (excl. manufacturer owned),County,2023,1174428
Warehouses (excl. manufacturer owned),County,2022,1070694
Warehouses (excl. manufacturer owned),County,2021,824060
Warehouses (excl. manufacturer owned),County,2020,636789
Warehouses (excl. manufacturer owned),County,2019,526143
Warehouses (excl. manufacturer owned),County,2018,720856
Warehouses (excl. manufacturer owned),County,2017,668533
Warehouses (excl. manufacturer owned),County,2016,967899
Warehouses (excl. manufacturer owned),County,2015,498065
Warehouses (excl. manufacturer owned),State,2024,114684
Warehouses (excl. manufacturer owned),State,2023,368965
Warehouses (excl. manufacturer owned),State,2022,255907
Warehouses (excl. manufacturer owned),State,2021,157582
Warehouses (excl. manufacturer owned),State,2020,218005
Warehouses (excl. manufacturer owned),State,2019,204369
Warehouses (excl. manufacturer owned),State,2018,218634
Warehouses (excl. manufacturer owned),State,2017,131430
Warehouses (excl. manufacturer owned),State,2016,219121
Warehouses (excl. manufacturer owned),State,2015,230006
Warehouses (excl. manufacturer owned),Federal,2024,42564
Warehouses (excl. manufacturer owned),Federal,2023,417217
Warehouses (excl. manufacturer owned),Federal,2022,268595
Warehouses (excl. manufacturer owned),Federal,2021,162954
Warehouses (excl. manufacturer owned),Federal,2020,288589
Warehouses (excl. manufacturer owned),Federal,2019,335748
Warehouses (excl. manufacturer owned),Federal,2018,127318
Warehouses (excl. manufacturer owned),Federal,2017,167428
Warehouses (excl. manufacturer owned),Federal,2016,70366
Warehouses (excl. manufacturer owned),Federal,2015,65637
Office and Bank Buildings,Private,2024,10593753
Office and Bank Buildings,Private,2023,47048462
Office and Bank Buildings,Private,2022,47866575
Office and Bank Buildings,Private,2021,36165885
Office and Bank Buildings,Private,2020,38942692
Office and Bank Buildings,Private,2019,47671609
Office and Bank Buildings,Private,2018,43062659
Office and Bank Buildings,Private,2017,36990494
Office and Bank Buildings,Private,2016,36015941
Office and Bank Buildings,Private,2015,29129147
Office and Bank Buildings,Municipal,2017,15000
Office and Bank Buildings,County,2024,1370105
Office and Bank Buildings,County,2023,4256715
Office and Bank Buildings,County,2022,3280836
Office and Bank Buildings,County,2021,2844832
Office and Bank Buildings,County,2020,2652264
Office and Bank Buildings,County,2019,2975887
Office and Bank Buildings,County,2018,2233772
Office and Bank Buildings,County,2017,2119306
Office and Bank Buildings,County,2016,1762244
Office and Bank Buildings,County,2015,1298734
Office and Bank Buildings,State,2024,476750
Office and Bank Buildings,State,2023,1160506
Office and Bank Buildings,State,2022,1505268
Office and Bank Buildings,State,2021,630762
Office and Bank Buildings,State,2020,1598922
Office and Bank Buildings,State,2019,1138722
Office and Bank Buildings,State,2018,2309906
Office and Bank Buildings,State,2017,1070071
Office and Bank Buildings,State,2016,776768
Office and Bank Buildings,State,2015,572215
Office and Bank Buildings,Federal,2024,30083
Office and Bank Buildings,Federal,2023,1752663
Office and Bank Buildings,Federal,2022,936882
Office and Bank Buildings,Federal,2021,1930512
Office and Bank Buildings,Federal,2020,900609
Office and Bank Buildings,Federal,2019,2512286
Office and Bank Buildings,Federal,2018,652815
Office and Bank Buildings,Federal,2017,1445293
Office and Bank Buildings,Federal,2016,926430
Office and Bank Buildings,Federal,2015,384459
Parking Garages and Automotive Services,Private,2024,3298836
Parking Garages and Automotive Services,Private,2023,15334416
Parking Garages and Automotive Services,Private,2022,17287639
Parking Garages and Automotive Services,Private,2021,13361809
Parking Garages and Automotive Services,Private,2020,10461270
Parking Garages and Automotive Services,Private,2019,14706631
Parking Garages and Automotive Services,Private,2018,12967446
Parking Garages and Automotive Services,Private,2017,11711636
Parking Garages and Automotive Services,Private,2016,12730966
Parking Garages and Automotive Services,Private,2015,9700613
Parking Garages and Automotive Services,County,2024,610038
Parking Garages and Automotive Services,County,2023,1832154
Parking Garages and Automotive Services,County,2022,2328346
Parking Garages and Automotive Services,County,2021,1884952
Parking Garages and Automotive Services,County,2020,941784
Parking Garages and Automotive Services,County,2019,4002100
Parking Garages and Automotive Services,County,2018,1424346
Parking Garages and Automotive Services,County,2017,1637317
Parking Garages and Automotive Services,County,2016,1230991
Parking Garages and Automotive Services,County,2015,2184238
Parking Garages and Automotive Services,State,2024,211494
Parking Garages and Automotive Services,State,2023,552858
Parking Garages and Automotive Services,State,2022,448600
Parking Garages and Automotive Services,State,2021,574286
Parking Garages and Automotive Services,State,2020,704077
Parking Garages and Automotive Services,State,2019,1350728
Parking Garages and Automotive Services,State,2018,890758
Parking Garages and Automotive Services,State,2017,621807
Parking Garages and Automotive Services,State,2016,1097998
Parking Garages and Automotive Services,State,2015,598659
Parking Garages and Automotive Services,Federal,2024,11062
Parking Garages and Automotive Services,Federal,2023,246514
Parking Garages and Automotive Services,Federal,2022,155783
Parking Garages and Automotive Services,Federal,2021,387838
Parking Garages and Automotive Services,Federal,2020,166091
Parking Garages and Automotive Services,Federal,2019,334140
Parking Garages and Automotive Services,Federal,2018,106390
Parking Garages and Automotive Services,Federal,2017,288009
Parking Garages and Automotive Services,Federal,2016,191476
Parking Garages and Automotive Services,Federal,2015,158422
Manufacturing and Processing Plants,Private,2024,14837750
Manufacturing and Processing Plants,Private,2023,69700799
Manufacturing and Processing Plants,Private,2022,96093045
Manufacturing and Processing Plants,Private,2021,27546949
Manufacturing and Processing Plants,Private,2020,13532009
Manufacturing and Processing Plants,Private,2019,30578291
Manufacturing and Processing Plants,Private,2018,22219872
Manufacturing and Processing Plants,Private,2017,22265337
Manufacturing and Processing Plants,Private,2016,16931640
Manufacturing and Processing Plants,Private,2015,22877305
Manufacturing and Processing Plants,County,2024,45755
Manufacturing and Processing Plants,County,2023,219893
Manufacturing and Processing Plants,County,2022,319674
Manufacturing and Processing Plants,County,2021,94734
Manufacturing and Processing Plants,County,2020,56631
Manufacturing and Processing Plants,County,2019,82185
Manufacturing and Processing Plants,County,2018,127114
Manufacturing and Processing Plants,County,2017,128418
Manufacturing and Processing Plants,County,2016,105340
Manufacturing and Processing Plants,County,2015,59789
Manufacturing and Processing Plants,State,2024,802
Manufacturing and Processing Plants,State,2023,20371
Manufacturing and Processing Plants,State,2022,12127
Manufacturing and Processing Plants,State,2021,36817
Manufacturing and Processing Plants,State,2020,11241
Manufacturing and Processing Plants,State,2019,32657
Manufacturing and Processing Plants,State,2018,14476
Manufacturing and Processing Plants,State,2017,89265
Manufacturing and Processing Plants,State,2016,1645
Manufacturing and Processing Plants,State,2015,2700
