MarketSegment,Year,Measure
Retail,2022,"19,484,007"
Retail,2021,"14,988,710"
Retail,2020,"12,601,203"
Retail,2019,"16,603,396"
Retail,2018,"17,112,813"
Retail,2017,"20,231,868"
Retail,2016,"21,102,785"
Retail,2015,"20,281,679"
Retail,2014,"18,154,192"
Retail,2013,"16,868,834"
Retail,2012,"15,617,522"
Retail,2011,"13,670,118"
Retail,2010,"12,679,915"
Warehouse (non-mfg),2022,"60,953,689"
Warehouse (non-mfg),2021,"49,573,270"
Warehouse (non-mfg),2020,"35,571,938"
Warehouse (non-mfg),2019,"30,351,380"
Warehouse (non-mfg),2018,"24,176,529"
Warehouse (non-mfg),2017,"23,612,079"
Warehouse (non-mfg),2016,"20,041,823"
Warehouse (non-mfg),2015,"15,455,397"
Warehouse (non-mfg),2014,"12,289,849"
Warehouse (non-mfg),2013,"9,042,371"
Warehouse (non-mfg),2012,"6,334,107"
Warehouse (non-mfg),2011,"4,894,286"
Warehouse (non-mfg),2010,"3,809,222"
Office,2022,"53,462,818"
Office,2021,"41,549,803"
Office,2020,"44,094,487"
Office,2019,"54,298,504"
Office,2018,"48,259,152"
Office,2017,"41,640,164"
Office,2016,"39,481,383"
Office,2015,"31,384,555"
Office,2014,"29,789,411"
Office,2013,"21,518,148"
Office,2012,"18,105,022"
Office,2011,"17,443,660"
Office,2010,"16,851,408"
Parking Gar/Auto Svc,2022,"20,277,443"
Parking Gar/Auto Svc,2021,"16,205,578"
Parking Gar/Auto Svc,2020,"12,273,222"
Parking Gar/Auto Svc,2019,"20,394,949"
Parking Gar/Auto Svc,2018,"15,388,940"
Parking Gar/Auto Svc,2017,"14,258,769"
Parking Gar/Auto Svc,2016,"15,253,101"
Parking Gar/Auto Svc,2015,"12,641,932"
Parking Gar/Auto Svc,2014,"11,755,948"
Parking Gar/Auto Svc,2013,"10,904,095"
Parking Gar/Auto Svc,2012,"8,396,750"
Parking Gar/Auto Svc,2011,"6,860,389"
Parking Gar/Auto Svc,2010,"5,269,552"
Manufacturing,2022,"102,630,630"
Manufacturing,2021,"32,241,040"
Manufacturing,2020,"16,625,740"
Manufacturing,2019,"33,557,849"
Manufacturing,2018,"32,284,132"
Manufacturing,2017,"26,256,091"
Manufacturing,2016,"20,347,498"
Manufacturing,2015,"25,263,953"
Manufacturing,2014,"35,819,716"
Manufacturing,2013,"19,403,603"
Manufacturing,2012,"13,080,224"
Manufacturing,2011,"17,335,718"
Manufacturing,2010,"9,523,384"
Education,2022,"74,343,411"
Education,2021,"64,636,688"
Education,2020,"63,136,763"
