Region,ConstructionType,Year,Measure
East North Central,New Construction,2024,13125524
East North Central,New Construction,2023,59012411
East North Central,New Construction,2022,64536105
East North Central,New Construction,2021,53397630
East North Central,New Construction,2020,44965012
East North Central,New Construction,2019,46849714
East North Central,New Construction,2018,47104098
East North Central,New Construction,2017,42068992
East North Central,New Construction,2016,42262033
East North Central,New Construction,2015,36055878
East North Central,Major Addition,2024,777355
East North Central,Major Addition,2023,3126457
East North Central,Major Addition,2022,1826887
East North Central,Major Addition,2021,820462
East North Central,Major Addition,2020,777793
East North Central,Major Addition,2019,994119
East North Central,Major Addition,2018,1076350
East North Central,Major Addition,2017,1284130
East North Central,Major Addition,2016,1304958
East North Central,Major Addition,2015,1416324
East North Central,Add and Alteration,2024,1171762
East North Central,Add and Alteration,2023,7660122
East North Central,Add and Alteration,2022,6304624
East North Central,Add and Alteration,2021,4735328
East North Central,Add and Alteration,2020,4065383
East North Central,Add and Alteration,2019,6539526
East North Central,Add and Alteration,2018,4377000
East North Central,Add and Alteration,2017,3713762
East North Central,Add and Alteration,2016,3341853
East North Central,Add and Alteration,2015,3310769
East North Central,Major Alteration,2024,2227955
East North Central,Major Alteration,2023,13614906
East North Central,Major Alteration,2022,10478971
East North Central,Major Alteration,2021,8536063
East North Central,Major Alteration,2020,8706004
East North Central,Major Alteration,2019,9942949
East North Central,Major Alteration,2018,9028416
East North Central,Major Alteration,2017,8817697
East North Central,Major Alteration,2016,9304645
East North Central,Major Alteration,2015,7919817
East South Central,New Construction,2024,10452061
East South Central,New Construction,2023,35979022
East South Central,New Construction,2022,42310059
East South Central,New Construction,2021,33982774
East South Central,New Construction,2020,27877984
East South Central,New Construction,2019,29005050
East South Central,New Construction,2018,32763256
East South Central,New Construction,2017,22977692
East South Central,New Construction,2016,22400535
East South Central,New Construction,2015,19572297
East South Central,Major Addition,2024,299467
East South Central,Major Addition,2023,1446594
East South Central,Major Addition,2022,1105296
East South Central,Major Addition,2021,455479
East South Central,Major Addition,2020,359370
East South Central,Major Addition,2019,756500
East South Central,Major Addition,2018,687482
East South Central,Major Addition,2017,562305
East South Central,Major Addition,2016,554797
East South Central,Major Addition,2015,775144
East South Central,Add and Alteration,2024,300451
East South Central,Add and Alteration,2023,1045349
East South Central,Add and Alteration,2022,1809995
East South Central,Add and Alteration,2021,1433866
East South Central,Add and Alteration,2020,1115616
East South Central,Add and Alteration,2019,974305
East South Central,Add and Alteration,2018,1888275
East South Central,Add and Alteration,2017,873723
East South Central,Add and Alteration,2016,1334848
East South Central,Add and Alteration,2015,834203
East South Central,Major Alteration,2024,1421129
East South Central,Major Alteration,2023,5051841
East South Central,Major Alteration,2022,4280720
