State,Year,Measure
Wyoming,2024,428359
Wyoming,2023,1334616
Wyoming,2022,1736730
Wyoming,2021,1465314
Wyoming,2020,917622
Wyoming,2019,1131068
Wyoming,2018,2606204
Wyoming,2017,811588
Wyoming,2016,1126629
Wyoming,2015,1915041
Wisconsin,2024,2461358
Wisconsin,2023,11310338
Wisconsin,2022,11572467
Wisconsin,2021,10412957
Wisconsin,2020,9173438
Wisconsin,2019,9885225
Wisconsin,2018,9044127
Wisconsin,2017,8662704
Wisconsin,2016,8079493
Wisconsin,2015,6642366
West Virginia,2024,432222
West Virginia,2023,3754770
West Virginia,2022,1834586
West Virginia,2021,1723982
West Virginia,2020,1272855
West Virginia,2019,1307292
West Virginia,2018,1045379
West Virginia,2017,812020
West Virginia,2016,1183265
West Virginia,2015,789865
Washington,2024,3307198
Washington,2023,17025067
Washington,2022,18871912
Washington,2021,20090631
Washington,2020,16968071
Washington,2019,18499011
Washington,2018,20207226
Washington,2017,19813237
Washington,2016,18001365
Washington,2015,14620901
Virginia,2024,5286699
Virginia,2023,18201798
Virginia,2022,20975978
Virginia,2021,17611403
Virginia,2020,15915002
Virginia,2019,19242857
Virginia,2018,18142798
Virginia,2017,15074661
Virginia,2016,13569377
Virginia,2015,10803992
Vermont,2024,182948
Vermont,2023,784375
Vermont,2022,928454
Vermont,2021,588941
Vermont,2020,550104
Vermont,2019,572704
Vermont,2018,486233
Vermont,2017,694401
Vermont,2016,632733
Vermont,2015,655031
Utah,2024,7362576
Utah,2023,8677384
Utah,2022,10468185
Utah,2021,11450537
Utah,2020,10458084
Utah,2019,8482271
Utah,2018,8700793
Utah,2017,7717705
Utah,2016,7380045
Utah,2015,5817861
Texas,2024,29561733
Texas,2023,98324095
Texas,2022,128791815
Texas,2021,90948980
Texas,2020,81275490
Texas,2019,87962999
Texas,2018,73512389
Texas,2017,70852674
Texas,2016,63856129
Texas,2015,64143819
Tennessee,2024,7147094
Tennessee,2023,19150642
Tennessee,2022,24068999
Tennessee,2021,19555599
Tennessee,2020,16940592
Tennessee,2019,15943999
Tennessee,2018,20525273
Tennessee,2017,13398783
Tennessee,2016,12778911
Tennessee,2015,10900863
South Dakota,2024,557436
South Dakota,2023,2780534
South Dakota,2022,3206027
South Dakota,2021,2617227
South Dakota,2020,1753796
South Dakota,2019,1656696
