Series Name,Series Code,Time,Time Code,World [WLD],United States [USA]
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1990,YR1990,8.06346090938833,5.39795643990325
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,YR2000,3.43351563418767,3.37685727149929
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2014,YR2014,2.35449052820358,1.62222297740817
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2015,YR2015,1.44385719270808,0.118627135552451
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2016,YR2016,1.60553917414213,1.26158320570536
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2017,YR2017,2.25427651934813,2.13011000365961
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2018,YR2018,2.45036243850175,2.44258329692817
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2019,YR2019,2.20607305781525,1.81221007526021
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2020,YR2020,1.93694126694223,1.23358439630629
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2021,YR2021,3.46692585313154,4.69785886363742
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022,YR2022,7.96757361617885,8.00279982052121
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2023,YR2023,..,..
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 03/28/2024,,,,,
