Series Name,Series Code,Time,Time Code,United States [USA]
Broad money growth (annual %),FM.LBL.BMNY.ZG,1990,YR1990,2.67796315144365
Broad money growth (annual %),FM.LBL.BMNY.ZG,2000,YR2000,8.11046448534502
Broad money growth (annual %),FM.LBL.BMNY.ZG,2014,YR2014,5.17839955418545
Broad money growth (annual %),FM.LBL.BMNY.ZG,2015,YR2015,3.14303976348123
Broad money growth (annual %),FM.LBL.BMNY.ZG,2016,YR2016,3.84943175924811
Broad money growth (annual %),FM.LBL.BMNY.ZG,2017,YR2017,4.80195396372877
Broad money growth (annual %),FM.LBL.BMNY.ZG,2018,YR2018,4.03042002361151
Broad money growth (annual %),FM.LBL.BMNY.ZG,2019,YR2019,8.39189902015057
Broad money growth (annual %),FM.LBL.BMNY.ZG,2020,YR2020,17.1995063481486
Broad money growth (annual %),FM.LBL.BMNY.ZG,2021,YR2021,16.9428076124799
Broad money growth (annual %),FM.LBL.BMNY.ZG,2022,YR2022,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,2023,YR2023,..
Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,1990,YR1990,0.792381762841512
Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,2000,YR2000,0.472965349277199
Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,2014,YR2014,1.32804639517552
Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,2015,YR2015,-0.497345591895055
Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,2016,YR2016,2.45484834137248
Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,2017,YR2017,0.645959339888472
Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,2018,YR2018,-1.10170045783044
Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,2019,YR2019,2.25660354155714
Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,2020,YR2020,9.21396604216089
Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,2021,YR2021,12.6648185816328
Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,2022,YR2022,-3.91126894752404
Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,2023,YR2023,..
Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,1990,YR1990,..
Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,2000,YR2000,..
Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,2014,YR2014,5.11323383040244
Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,2015,YR2015,4.35232602873296
Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,2016,YR2016,3.27343939975972
Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,2017,YR2017,4.76608982999816
Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,2018,YR2018,3.11637634849853
Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,2019,YR2019,4.60995405453876
Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,2020,YR2020,8.18439153525174
Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,2021,YR2021,6.03893788950752
Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,2022,YR2022,3.18489327665541
Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,2023,YR2023,..
Deposit interest rate (%),FR.INR.DPST,1990,YR1990,..
Deposit interest rate (%),FR.INR.DPST,2000,YR2000,..
Deposit interest rate (%),FR.INR.DPST,2014,YR2014,..
Deposit interest rate (%),FR.INR.DPST,2015,YR2015,..
Deposit interest rate (%),FR.INR.DPST,2016,YR2016,..
Deposit interest rate (%),FR.INR.DPST,2017,YR2017,..
Deposit interest rate (%),FR.INR.DPST,2018,YR2018,..
Deposit interest rate (%),FR.INR.DPST,2019,YR2019,..
Deposit interest rate (%),FR.INR.DPST,2020,YR2020,..
Deposit interest rate (%),FR.INR.DPST,2021,YR2021,..
